,date,actions
392,2023-07-27,[0]
393,2023-07-28,[0]
394,2023-07-31,[0]
395,2023-08-01,[0]
396,2023-08-02,[0]
397,2023-08-03,[0]
398,2023-08-04,[0]
399,2023-08-07,[0]
400,2023-08-08,[0]
401,2023-08-09,[0]
402,2023-08-10,[0]
403,2023-08-11,[0]
404,2023-08-14,[0]
405,2023-08-15,[0]
406,2023-08-16,[0]
407,2023-08-17,[0]
408,2023-08-18,[0]
409,2023-08-21,[0]
410,2023-08-22,[0]
411,2023-08-23,[0]
412,2023-08-24,[0]
413,2023-08-25,[0]
414,2023-08-28,[0]
415,2023-08-29,[0]
416,2023-08-30,[0]
417,2023-08-31,[0]
418,2023-09-01,[0]
419,2023-09-05,[0]
420,2023-09-06,[0]
421,2023-09-07,[0]
422,2023-09-08,[0]
423,2023-09-11,[0]
424,2023-09-12,[0]
425,2023-09-13,[0]
426,2023-09-14,[0]
427,2023-09-15,[0]
428,2023-09-18,[0]
429,2023-09-19,[0]
430,2023-09-20,[0]
431,2023-09-21,[0]
432,2023-09-22,[0]
433,2023-09-25,[0]
434,2023-09-26,[0]
435,2023-09-27,[0]
436,2023-09-28,[0]
437,2023-09-29,[0]
438,2023-10-02,[0]
439,2023-10-03,[0]
440,2023-10-04,[0]
441,2023-10-05,[0]
442,2023-10-06,[0]
443,2023-10-09,[0]
444,2023-10-10,[0]
445,2023-10-11,[0]
446,2023-10-12,[0]
447,2023-10-13,[0]
448,2023-10-16,[0]
449,2023-10-17,[0]
450,2023-10-18,[0]
451,2023-10-19,[0]
452,2023-10-20,[0]
453,2023-10-23,[0]
454,2023-10-24,[0]
455,2023-10-25,[0]
456,2023-10-26,[0]
457,2023-10-27,[0]
458,2023-10-30,[0]
459,2023-10-31,[0]
460,2023-11-01,[0]
461,2023-11-02,[0]
462,2023-11-03,[0]
463,2023-11-06,[0]
464,2023-11-07,[0]
465,2023-11-08,[0]
466,2023-11-09,[0]
467,2023-11-10,[0]
468,2023-11-13,[0]
469,2023-11-14,[0]
470,2023-11-15,[0]
471,2023-11-16,[0]
472,2023-11-17,[0]
473,2023-11-20,[0]
474,2023-11-21,[0]
475,2023-11-22,[0]
476,2023-11-24,[0]
477,2023-11-27,[0]
478,2023-11-28,[0]
479,2023-11-29,[0]
480,2023-11-30,[0]
481,2023-12-01,[0]
482,2023-12-04,[0]
483,2023-12-05,[0]
484,2023-12-06,[0]
485,2023-12-07,[0]
486,2023-12-08,[0]
487,2023-12-11,[0]
488,2023-12-12,[0]
489,2023-12-13,[0]
490,2023-12-14,[0]
491,2023-12-15,[0]
492,2023-12-18,[0]
493,2023-12-19,[0]
494,2023-12-20,[0]
495,2023-12-21,[0]
496,2023-12-22,[0]
497,2023-12-26,[0]
498,2023-12-27,[0]
499,2023-12-28,[0]
