,Total Return,Annual Return,Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio
PPO Agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P 500,-0.0055727396597196055,-0.0028069473005728485,0.19469504559258205,-0.014417148068814516,-0.023928618665161338,-0.2542509661923038,-0.011040065422798834
Dow Jones,0.030189386356173076,0.01507284425869626,0.1617017110857236,0.09321388226192381,0.154242533021527,-0.21940803824764876,0.06869777597520535
NASDAQ,-0.051882813238707914,-0.026442214375892337,0.2579390891298624,-0.10251340525816814,-0.17085149638628624,-0.3549283661100324,-0.07450014397467151
Russell 2000,-0.10802359716583099,-0.05587816887165076,0.24427262372889902,-0.2287533003848438,-0.3950970439516898,-0.2796934297880863,-0.1997836306486986
