,date,account_value,daily_return,cumulative_return
99,2022-05-25,100000.0,0.0,-0.3241672415480068
100,2022-05-26,100000.0,0.0,-0.3241672415480068
101,2022-05-27,100000.0,0.0,-0.3241672415480068
102,2022-05-31,100000.0,0.0,-0.3241672415480068
103,2022-06-01,100000.0,0.0,-0.3241672415480068
104,2022-06-02,100000.0,0.0,-0.3241672415480068
105,2022-06-03,100000.0,0.0,-0.3241672415480068
106,2022-06-06,100000.0,0.0,-0.3241672415480068
107,2022-06-07,100000.0,0.0,-0.3241672415480068
108,2022-06-08,100000.0,0.0,-0.3241672415480068
109,2022-06-09,100000.0,0.0,-0.3241672415480068
110,2022-06-10,100000.0,0.0,-0.3241672415480068
111,2022-06-13,100000.0,0.0,-0.3241672415480068
112,2022-06-14,100000.0,0.0,-0.3241672415480068
113,2022-06-15,100000.0,0.0,-0.3241672415480068
114,2022-06-16,100000.0,0.0,-0.3241672415480068
115,2022-06-17,100000.0,0.0,-0.3241672415480068
116,2022-06-21,100000.0,0.0,-0.3241672415480068
117,2022-06-22,100000.0,0.0,-0.3241672415480068
118,2022-06-23,100000.0,0.0,-0.3241672415480068
119,2022-06-24,100000.0,0.0,-0.3241672415480068
120,2022-06-27,100000.0,0.0,-0.3241672415480068
121,2022-06-28,100000.0,0.0,-0.3241672415480068
122,2022-06-29,100000.0,0.0,-0.3241672415480068
123,2022-06-30,100000.0,0.0,-0.3241672415480068
124,2022-07-01,100000.0,0.0,-0.3241672415480068
125,2022-07-05,100000.0,0.0,-0.3241672415480068
126,2022-07-06,100000.0,0.0,-0.3241672415480068
127,2022-07-07,100000.0,0.0,-0.3241672415480068
128,2022-07-08,100000.0,0.0,-0.3241672415480068
129,2022-07-11,100000.0,0.0,-0.3241672415480068
130,2022-07-12,100000.0,0.0,-0.3241672415480068
131,2022-07-13,100000.0,0.0,-0.3241672415480068
132,2022-07-14,100000.0,0.0,-0.3241672415480068
133,2022-07-15,100000.0,0.0,-0.3241672415480068
134,2022-07-18,100000.0,0.0,-0.3241672415480068
135,2022-07-19,100000.0,0.0,-0.3241672415480068
136,2022-07-20,100000.0,0.0,-0.3241672415480068
137,2022-07-21,100000.0,0.0,-0.3241672415480068
138,2022-07-22,100000.0,0.0,-0.3241672415480068
139,2022-07-25,100000.0,0.0,-0.3241672415480068
140,2022-07-26,100000.0,0.0,-0.3241672415480068
141,2022-07-27,100000.0,0.0,-0.3241672415480068
142,2022-07-28,100000.0,0.0,-0.3241672415480068
143,2022-07-29,100000.0,0.0,-0.3241672415480068
144,2022-08-01,100000.0,0.0,-0.3241672415480068
145,2022-08-02,100000.0,0.0,-0.3241672415480068
146,2022-08-03,100000.0,0.0,-0.3241672415480068
147,2022-08-04,100000.0,0.0,-0.3241672415480068
148,2022-08-05,100000.0,0.0,-0.3241672415480068
149,2022-08-08,100000.0,0.0,-0.3241672415480068
150,2022-08-09,100000.0,0.0,-0.3241672415480068
151,2022-08-10,100000.0,0.0,-0.3241672415480068
152,2022-08-11,100000.0,0.0,-0.3241672415480068
153,2022-08-12,100000.0,0.0,-0.3241672415480068
154,2022-08-15,100000.0,0.0,-0.3241672415480068
155,2022-08-16,100000.0,0.0,-0.3241672415480068
156,2022-08-17,100000.0,0.0,-0.3241672415480068
157,2022-08-18,100000.0,0.0,-0.3241672415480068
158,2022-08-19,100000.0,0.0,-0.3241672415480068
159,2022-08-22,100000.0,0.0,-0.3241672415480068
160,2022-08-23,100000.0,0.0,-0.3241672415480068
161,2022-08-24,100000.0,0.0,-0.3241672415480068
162,2022-08-25,100000.0,0.0,-0.3241672415480068
163,2022-08-26,100000.0,0.0,-0.3241672415480068
164,2022-08-29,100000.0,0.0,-0.3241672415480068
165,2022-08-30,100000.0,0.0,-0.3241672415480068
166,2022-08-31,100000.0,0.0,-0.3241672415480068
167,2022-09-01,100000.0,0.0,-0.3241672415480068
168,2022-09-02,100000.0,0.0,-0.3241672415480068
